Title,Author,Rating,Comment,Quote
,[清] 曹雪芹 著,9.6,(448350人评价),都云作者痴，谁解其中味？
,余华,9.4,(886725人评价),生的苦难与伟大
,J.K.罗琳 (J.K.Rowling),9.7,(124884人评价),从9¾站台开始的旅程
,[英] 乔治·奥威尔,9.4,(302162人评价),栗树荫下，我出卖你，你出卖我
,刘慈欣,9.5,(206028人评价),地球往事三部曲
,[哥伦比亚] 加西亚·马尔克斯,9.3,(456079人评价),魔幻现实主义文学代表作
,[美国] 玛格丽特·米切尔,9.3,(222358人评价),革命时期的爱情，随风而逝
,[英] 乔治·奥威尔,9.3,(173165人评价),太阳底下并无新事
,林奕含,9.2,(408426人评价),向死而生的文学绝唱
,[明] 罗贯中,9.3,(177780人评价),是非成败转头空
,[英] 阿·柯南道尔,9.3,(141344人评价),名侦探的代名词
,[日] 东野圭吾,9.2,(509935人评价),一宗离奇命案牵出跨度近20年步步惊心的故事
,[法] 圣埃克苏佩里,9.1,(783447人评价),献给长成了大人的孩子们
,【美】傅高义 (Ezra.F.Vogel),9.4,(81042人评价),个人命运背后的历史变局
,鲁迅,9.2,(171518人评价),新文学的第一声呐喊
,（丹麦）安徒生,9.3,(140109人评价),为了争取未来的一代
,三毛,9.2,(189585人评价),游荡的自由灵魂
,金庸,9.2,(138045人评价),有情皆孽，无人不冤
,[意] 埃莱娜·费兰特,9.2,(94100人评价),我的整个生命，只是一场为了提升社会地位的低俗斗争。
,[意] 埃莱娜·费兰特,9.2,(105089人评价),探索青年时代的激情、困惑、挣扎、背叛和失去
,[美] 哈珀·李,9.2,(157506人评价),有一种东西不能遵循从众原则，那就是——人的良心
,[俄] 费奥多尔·陀思妥耶夫斯基,9.6,(45226人评价),
,当年明月,9.2,(192507人评价),不拘一格的历史书写
,鲁迅,9.5,(52727人评价),我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。
,[德] 赫尔曼·黑塞,9.2,(154762人评价),
,王小波,9.1,(158201人评价),沉默是沉默者的通行证
,钱穆,9.2,(79596人评价),一部简明的“中国政治制度史”
,[英] 阿加莎·克里斯蒂,9.2,(90025人评价),
,[法] 阿尔贝·加缪,9.1,(259656人评价),人生在世，永远也不该演戏作假
,陈忠实,9.2,(119822人评价),一轴关于我们民族灵魂的现实主义画卷
,史铁生,9.2,(122991人评价),这是你的罪孽与福祉
,鲁迅,9.3,(71639人评价),路漫漫其修远兮，吾将上下而求索
,余华,9.2,(189004人评价),
,[以色列] 尤瓦尔·赫拉利,9.1,(209692人评价),跟着人类一同走过十万年
,费孝通,9.2,(101307人评价),中国乡土社会传统文化和社会结构理论研究代表作
,路遥,9.0,(335106人评价),中国当代城乡生活全景
,钱锺书,9.0,(456702人评价),
,金庸,9.1,(115998人评价),欲练此功，必先自宫
,[美] 丹尼尔·凯斯,9.1,(127056人评价),当声称能改造智能的科学实验选中心智障碍主角
,[英] 阿加莎·克里斯蒂,9.1,(148175人评价),谋杀诡计惊人，波洛的抉择耐人寻味
,鲁迅,9.5,(48742人评价),拾取古代传说，取一点因由，随意点染
,[美] 斯蒂芬·金,9.1,(127015人评价),豆瓣电影Top1原著
,林海音 文,9.1,(166622人评价),长亭外，古道边，芳草碧连天
,[美] 彼得·海斯勒,9.1,(68091人评价),外国人眼中的涪陵
,[法国] 大仲马,9.1,(134723人评价),一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景
,鲁迅,9.1,(166405人评价),在纷扰中寻出一点闲静
,[哥伦比亚] 加西亚·马尔克斯,9.0,(302194人评价),义无反顾地直达爱情的核心
,[美] 黄仁宇,9.0,(212056人评价),见微知著，历史观的颠覆
,[英] 贡布里希 (Sir E.H.Gombrich),9.5,(28261人评价),从最早的洞窟绘画到当今的实验艺术
,上野千鹤子,9.1,(91644人评价),
,杨本芬,9.0,(135559人评价),
,[英] 毛姆,9.0,(219645人评价),有多少人会经历顿悟，就有更少的人甘愿自我放逐
,兰小欢,9.1,(96640人评价),
,金庸,9.1,(89975人评价),侠之大者，为国为民
,[意大利]伊塔洛·卡尔维诺,9.1,(67628人评价),是不是真的只有先与人疏离，才能最终与他们在一起？
,[美] 卡勒德·胡赛尼,8.9,(815354人评价),为你，千千万万遍
,吴承恩,9.1,(97614人评价),神魔皆有人情，精魅亦通世故
,[美] 彼得·海斯勒,9.0,(60123人评价),《纽约客》驻北京记者驾车漫游中国大陆的经历
,[英]毛姆,9.0,(98451人评价),一把刀的锋刃不容易越过；因此智者说得救之道是困难的
,[英] 阿加莎・克里斯蒂,9.0,(161004人评价),童谣杀人案
,[德]格林兄弟,9.1,(99611人评价),一本有教育意义的书
,林崇德 主编,9.4,(20411人评价),
,马伯庸,9.0,(133684人评价),
,刘瑜,9.1,(47292人评价),
,[日] 东野圭吾,8.9,(542586人评价),数学好是一种极致的浪漫
,[法] 阿尔贝·加缪,9.1,(89198人评价),用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理
,刘擎,9.2,(42296人评价),
,[英] 奥斯丁,8.9,(239932人评价),所有现代言情小说的母体
,司马迁,9.5,(26524人评价),史家之绝唱，无韵之离骚
,王小波,8.9,(171952人评价),我想爱，想吃，还想在一瞬间变成天上半明半暗的云
,白先勇,9.2,(54357人评价),写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们
,孔丘 编订,9.5,(30662人评价),思无邪
,[法] 雨果,9.1,(66121人评价),现实主义与浪漫主义的至高杰作
,白先勇,9.0,(80378人评价),白先勇短篇小说集
,老舍,9.4,(45275人评价),北平沦陷时代广大平民的悲惨遭遇
,[日] 上野千鹤子,9.0,(82073人评价),
,[美] 艾萨克·阿西莫夫,9.1,(52208人评价),关于时间旅行的终极奥秘和恢宏构想
,【英】奥尔德斯·赫胥黎,9.1,(66771人评价),
,[瑞典] 弗雷德里克·巴克曼,9.1,(76964人评价),这个发生在瑞典的故事，如生命庆典般绚丽斑斓
,金庸,8.9,(104707人评价),至情至性，情大于武
,[英] 弗吉尼亚·伍尔夫,9.2,(47490人评价),
,毛泽东,9.6,(35071人评价),
,林达,9.0,(47328人评价),窥见美国社会的一扇窗
,曹天元,9.2,(36400人评价),量子物理史话
,[美] 卡勒德·胡赛尼,8.9,(129216人评价),唯有希望与爱可以驱散阴霾
,蘅塘退士,9.4,(29325人评价),熟读唐诗三百首，不会吟诗也会吟
,[日] 叶真中显,8.9,(132159人评价),
,李泽厚,9.2,(34939人评价),中国美学经典之作
,[日] 黑柳彻子 著,8.9,(221039人评价),真正懂孩子的教育经
,三毛,9.0,(59596人评价),沙漠中寻常的生与死
,萧红,9.0,(88368人评价),萧红的童年往事
,[美] 阿图·葛文德（Atul Gawande）,9.0,(54881人评价),关于衰老与死亡，你必须知道的常识
,王国维,9.1,(57563人评价),以新眼光评旧文学
,李娟,9.0,(45628人评价),阿勒泰的精灵
,阿城,9.3,(33209人评价),
,[俄] 陀思妥耶夫斯基,9.3,(39096人评价),描绘人内心的全部深度
,[意] 埃莱娜·费兰特,8.9,(86099人评价),探索中年的虚无、困惑、野心和近乎残暴的爱
,萧冬连,9.5,(22036人评价),
,黄元吉,9.5,(22084人评价),中国历史上首部完整的哲学著作
,木心 口述,9.1,(45902人评价),木心留给世界的礼物
,[美] 孔飞力,9.2,(37560人评价),
,[美]洛莉·戈特利布,9.0,(57864人评价),
,[马来西亚] 黎紫书,9.2,(31189人评价),
,[美]张纯如（Iris Chang）,9.7,(24249人评价),
,[德] 埃里希·玛丽亚·雷马克,9.4,(26945人评价),
,李娟,9.1,(42957人评价),
,吴军,9.0,(34682人评价),了解IT领域的入门读物
,埃德温·A·艾勃特,9.2,(32000人评价),
,[日] 清水洁,9.0,(56680人评价),
,[韩]崔恩荣,9.0,(50720人评价),
,王小波,8.8,(118887人评价),王小波与李银河的两地书
,[英] 毛姆,9.1,(32927人评价),在混沌纷扰的生活漩流中，寻求人生的真谛
,汪曾祺,9.3,(29583人评价),江南乡镇民间生活，健康淳朴的人性
,人民文学出版社,9.3,(21014人评价),
,杨绛,8.8,(319662人评价),
,[葡] 若泽·萨拉马戈,9.0,(42830人评价),失明症迅速蔓延，整个城市陷入一场空前的灾难
,[意] 伊塔洛·卡尔维诺,9.0,(40821人评价),
,海子,9.0,(48766人评价),
,老舍,9.2,(37771人评价),清末、民初、抗战胜利以后三个历史时期的北京生活风貌
,[美]马里奥·普佐,9.0,(41769人评价),“教父三部曲”电影原著
,[印] 罗宾德拉纳德·泰戈尔,8.9,(68900人评价),一个淡泊清透的世界
,[英] 肯·福莱特,8.9,(87765人评价),五个家族，一场战争
,(德)叔本华,9.2,(34921人评价),对世俗、实用问题深刻而透彻的讨论
,[奥] 斯特凡·茨威格,9.3,(19321人评价),
,金庸,8.9,(57546人评价),武侠的解构，流氓的狂欢
,[英] 威廉·萨默塞特·毛姆,9.0,(47961人评价),
,迟子建,9.0,(66432人评价),
,[美] 约翰·威廉斯,8.8,(69270人评价),即使不能拥有完美的生活，所幸追求过完整的自我
,严歌苓,8.9,(59857人评价),翻手为苍凉，覆手为繁华
,沈从文,8.7,(238588人评价),一切充满了善，然而到处是不凑巧
,汪曾祺,9.2,(36090人评价),我就是要这样香，香得痛痛快快
,[意] 埃莱娜·费兰特,8.8,(130624人评价),“那不勒斯四部曲”第一部，两个女人，50年的友谊和战争
,陳浩基,9.1,(25862人评价),
,[日] 冈岛二人,8.8,(80527人评价),
,三毛,8.8,(100447人评价),哀而不伤
,少年儿童出版社,9.2,(21532人评价),
,[俄] 陀思妥耶夫斯基,9.2,(33080人评价),
,[英] 史蒂芬·霍金,8.9,(64581人评价),探索时间和空间的核心秘密
,莫言,9.2,(39303人评价),
,[阿根廷] 豪·路·博尔赫斯,8.9,(52712人评价),一个谜语，谜底正是时间
,[英] 王尔德,9.1,(25252人评价),一颗纯美纯善、永难泯灭的童心
,吴念真,8.8,(69235人评价),平淡叙述下的惊心动魄
,[英] 阿瑟·克拉克,9.3,(25092人评价),
,[日] 伊坂幸太郎,9.0,(33015人评价),伊坂幸太郎代表作
,[美] 罗伯特·麦基,9.2,(21166人评价),材质、结构、风格和银幕剧作的原理
,[俄] 列夫·托尔斯泰,9.2,(33931人评价),
,王小波,9.1,(26785人评价),我们好象在池塘的水底，从一个月亮走向另一个月亮
,刘震云,8.8,(96570人评价),一句胜过千年
,李娟,9.1,(23667人评价),白雪和阳光，青草和白桦林
,安徒生,9.1,(26994人评价),
,[美] 曼昆,9.1,(23389人评价),经济学家们的世界观
,[英] 石黑一雄,8.9,(42313人评价),
,李沧东,8.9,(39449人评价),
,三浦紫苑,9.0,(32459人评价),明明这么痛苦，这么难过，为什么就是不能放弃跑步？
,塔拉·韦斯特弗,8.7,(212059人评价),我来自一个极少有人能想象的家庭，教育给了我新世界
,錢穆,9.4,(17266人评价),钱穆中国通史
,张爱玲,9.1,(36862人评价),
,刘和平,9.5,(17336人评价),
,[白俄] S·A·阿列克谢耶维奇,9.2,(21261人评价),真实记录切尔诺贝利核灾难事件
,茅海建,9.4,(17080人评价),
,三毛,8.9,(47934人评价),从遥远的撒哈拉到敦煌戈壁
,(美) 斯塔夫里阿诺斯,9.0,(24586人评价),
,[德] 赫尔曼·黑塞,8.9,(42764人评价),少年辛克莱寻找通向自身之路的艰辛历程
,曹文轩,9.0,(59311人评价),男孩桑桑刻骨铭心、终身难忘的六年小学生活
,[奥] 斯蒂芬·茨威格,8.7,(152711人评价),暗恋的极致
,[挪] 乔斯坦·贾德,8.8,(62171人评价),哲学启蒙书
,[美]乔治·R.R.马丁,9.5,(20763人评价),乔治·R·R·马丁史诗奇幻小说
,米兰·昆德拉,8.8,(49670人评价),
,[美] 艾·弗洛姆,8.8,(54363人评价),谦恭地、勇敢地、真诚地和有纪律地爱他人
,三毛,9.1,(24879人评价),三毛在加纳利群岛的生活
,[美] 沃尔特·艾萨克森,8.8,(63681人评价),完美主义者的最高形态
,田余庆,9.5,(16203人评价),
,李娟,8.9,(32908人评价),描写疆北阿勒泰地区生活和风情的原生态散文集
,都梁,9.0,(33122人评价),面对强大的对手，明知不敌，也要毅然亮剑
,刘慈欣,8.7,(93803人评价),量子之外，没有真相
,李光耀,9.2,(17386人评价),
,吴楚材,9.1,(19965人评价),收录自先秦至明末的散文二百二十二篇
,[日] 东野圭吾,8.7,(152276人评价),
,[南非] 特雷弗·诺亚,9.1,(23386人评价),
,[美] 罗兰·米勒 (Rowland S. Miller),9.2,(30364人评价),
,莫言,8.9,(56153人评价),
,张爱玲,8.9,(43674人评价),
,[美] 欧·亨利,8.7,(78515人评价),日常的奇迹
,李硕,8.9,(35528人评价),
,[美] 戴维·迈尔斯,9.0,(28368人评价),人们是如何思索、影响他人并与他人建立联系的
,[苏] 安德烈·塔可夫斯基,9.4,(10723人评价),
,[日] 清水洁,9.0,(28014人评价),
,[英]阿加莎·克里斯蒂,9.1,(19856人评价),
,[加拿大] 阿利斯泰尔·麦克劳德,9.0,(22280人评价),男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟
,[古希腊] 柏拉图,8.8,(40072人评价),人类历史上最早的乌托邦
,吴晓波,8.8,(33241人评价),这是一个最好的时代，也是一个最坏的时代
,林达,9.0,(16671人评价),在法治国家里，民众怎样运用法律
,[日] 上野千鹤子,9.2,(20846人评价),
,[哥伦比亚] 加西亚·马尔克斯,8.7,(60205人评价),我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯
,卡罗琳·克里亚多·佩雷斯,9.1,(20751人评价),
,福楼拜,9.1,(30185人评价),
,余华,8.8,(86224人评价),
,[日] 岩井俊二,8.6,(111774人评价),一场同名同姓的误会，两段可贵的爱情
,[美] 艾萨克·阿西莫夫,9.5,(18174人评价),阿西莫夫经典科幻小说
,[英] 阿加莎·克里斯蒂,8.7,(53042人评价),阿加莎·克里斯蒂代表作
,[美] 安迪·威尔,9.1,(15046人评价),
,[日本] 上野千鹤子,8.7,(75778人评价),
,[英] 吉米·哈利,8.9,(24166人评价),活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事
,[法]安妮·埃尔诺,9.0,(20241人评价),
,曹禺,8.7,(83023人评价),一幕人生大悲剧，在一个雷雨夜爆发
,金庸,8.7,(64873人评价),不识张郎是张郎
,[美] 保罗·卡拉尼什,8.9,(32615人评价),你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气
,老舍,8.6,(219653人评价),旧中国老北京贫苦市民的典型命运
,[明] 施耐庵,8.7,(82864人评价),替天行道
,纳训,8.8,(62146人评价),阿拉伯地区的古代民间传说
,孙武,9.4,(14860人评价),我国最古老最杰出的一部兵书
,三毛,8.8,(57763人评价),三毛少女时代的成长感受
,[德]赫尔曼·黑塞,9.0,(25713人评价),“超现实主义”风格作品，德国的《尤利西斯》
,孙通海 译注,9.4,(13112人评价),野马也，尘埃也，生物之以息相吹也
,龙应台,8.7,(82056人评价),我们现在怎样做母亲
,项飙,9.4,(11250人评价),
,八月长安,8.7,(75149人评价),耿耿余淮
,[意] 伊塔洛·卡尔维诺,8.9,(28672人评价),
,[英] 威尔·贡培兹,9.1,(16112人评价),
,刘瑜,8.6,(145865人评价),在这本书里，被“审视”的东西杂七杂八
,（清）沈复,8.7,(74037人评价),苟不记之笔墨，未免有辜彼苍之厚
,鲁迅,9.6,(13518人评价),
,江南,8.8,(32735人评价),乱世的英雄史诗
,[日] 芥川龙之介,8.7,(74445人评价),人生，远比地狱更像地狱
,[英] 劳伦斯·里斯,9.5,(11315人评价),
,[古希腊] 柏拉图,9.3,(13217人评价),
,[美] 欧文·斯通,9.1,(12234人评价),梵高悲惨而成就辉煌的人生
,[美] 特德·姜,8.8,(38968人评价),特德·姜科幻小说集
,龙应台,8.7,(35797人评价),中国人，你为什么不生气
,[白俄] S. A. 阿列克谢耶维奇,8.9,(27702人评价),用最为细小的马赛克拼出了一幅完整的后苏联时代图景
,[意] 伊塔洛·卡尔维诺,8.8,(32480人评价),
,[英] 道格拉斯·亚当斯,8.8,(23606人评价),一场穿越银河的冒险
,刘胜利,9.1,(25873人评价),仁远乎哉？我欲仁，斯仁至矣
,[日] 伊藤诗织,8.9,(25750人评价),
,八月长安,8.7,(51319人评价),原作名切题
,马伯庸,8.7,(53701人评价),
,张爱玲,8.6,(66287人评价),一个小商人家庭出身的女子曹七巧的心灵变迁历程
,[奥] 斯蒂芬·茨威格,9.1,(13979人评价),纳粹法西斯对人心灵的折磨及摧残
,[意] 卡洛·罗韦利,8.9,(24092人评价),
,[英] 莎士比亚,8.7,(53121人评价),生存还是毁灭，这是一个值得思考的问题
,[法] 米歇尔·福柯,9.3,(11997人评价),
,[英]凯特·柯克帕特里克,9.0,(19732人评价),
,[美] 安迪·威尔,8.9,(21789人评价),
,[美] 贾雷德·戴蒙德,8.7,(55130人评价),
,[英] 斯蒂芬·韦斯塔比,9.1,(13994人评价),
,[日] 东野圭吾,8.5,(775127人评价),
,[英] 威廉·萨默塞特·毛姆,9.1,(13334人评价),
,顾城,8.8,(27605人评价),
,蔡崇达,8.9,(35300人评价),
,[美] 路易斯·贾内梯,8.9,(19025人评价),
